,CP,(X),(Y),(Z),Rank,Signature,Pair,Type of CP,Lambda 1,Lambda 2,Lambda 3,Laplacian of electron density
234,235,18.76876038454249,-0.03590423618804,-12.36069927011164,3,-3,(3;-3),Nuclear,-747407.6532,-747401.6618,-747401.1609,-2242210.476
235,236,20.1350302282298,1.33225526611459,-13.66838756461176,3,-3,(3;-3),Nuclear,-3221171.585,-3221153.819,-3221119.933,-9663445.336
236,237,27.77760695489997,7.0511488560586,-6.84055025246752,3,-1,(3;-1),Ligação,-0.7784321477,-0.6276965961,0.3446032894,-1.061525454
237,238,22.73718505229603,9.03100141624189,-15.80944852227214,3,-3,(3;-3),Nuclear,-1635086.976,-1635083.137,-1635061.055,-4905231.168
238,239,24.17955243773926,12.08843637078809,-15.36591928987488,3,-1,(3;-1),Ligação,-0.8674310218,-0.8623273096,0.499064154,-1.230694177
239,240,24.06053449587179,12.14789708237782,-11.59982767938586,3,-1,(3;-1),Ligação,-0.2962587127,-0.2637660195,1.097279655,0.5372549232
240,241,27.83641741911267,11.07035259729122,-16.29184703001489,3,-1,(3;-1),Ligação,-0.8797495059,-0.8706251166,0.5107571393,-1.239617483
241,242,22.73319303850024,7.40821166939023,-14.87831680568714,3,-3,(3;-3),Nuclear,-23.63886034,-23.61161278,-21.37355085,-68.62402397
242,243,27.56458010996448,9.65236535943971,-15.05742408668621,3,-1,(3;-1),Ligação,-1.097462582,-1.021148147,1.635979388,-0.4826313411
243,244,24.4549449162637,10.95663112541974,-14.77009891687874,3,-3,(3;-3),Nuclear,-745116.7813,-745115.1518,-745112.803,-2235344.736
244,245,24.02299419845593,12.7166621585737,-15.69789934445087,3,-3,(3;-3),Nuclear,-24.38603258,-24.38293224,-22.91389569,-71.68286051
245,246,23.99763662119463,11.32135166196898,-11.88448682657629,3,-3,(3;-3),Nuclear,-747121.5861,-747113.3954,-747106.4246,-2241341.406
246,247,24.77972967632068,13.14602057834165,-11.31755662591316,3,-3,(3;-3),Nuclear,-201.8516604,-201.1577263,-56.00075291,-459.0101396
247,248,27.6793077389688,9.12892132551508,-7.68988960992103,3,-1,(3;-1),Ligação,-0.7344510473,-0.6113640524,0.3372280968,-1.008587003
248,249,25.16548244326282,9.35036563828231,-10.10436599811804,3,-3,(3;-3),Nuclear,-745888.2402,-745886.3304,-745884.6719,-2237659.242
249,250,24.27731157082644,6.86915460351611,-10.01176929354933,3,-3,(3;-3),Nuclear,-746010.3039,-746007.8987,-746007.5925,-2238025.795
250,251,23.13385848124658,19.76186517736238,4.56093249051349,3,-1,(3;-1),Ligação,-0.4763706208,-0.4046961842,0.3408933169,-0.5401734881
251,252,22.74815163989447,6.31685831337407,-11.22350155030882,3,-3,(3;-3),Nuclear,-24.48893189,-24.47838467,-23.07677327,-72.04408983
252,253,25.3317786703105,5.11548852342653,-8.38849432939609,3,-3,(3;-3),Nuclear,-746134.045,-746131.3404,-746130.9086,-2238396.294
253,254,29.17732571755777,8.59546009579568,-6.11244450714451,3,-1,(3;-1),Ligação,-0.8283194853,-0.8140857281,0.460496304,-1.181908909
254,255,24.61791032556667,3.21451686054392,-8.34716783788614,3,-3,(3;-3),Nuclear,-24.14555157,-24.13623301,-22.72195587,-71.00374045
255,256,27.29898459962531,5.81468583812693,-6.82757906142358,3,-3,(3;-3),Nuclear,-745860.1122,-745859.0199,-745855.9838,-2237575.116
256,257,28.35156207144908,4.0723604076317,-5.2043086654084,3,-3,(3;-3),Nuclear,-3216039.874,-3216009.78,-3215984.259,-9648033.913
257,258,29.69801172469794,3.21431605396662,-6.02956091426212,3,-3,(3;-3),Nuclear,-22.22813051,-22.20914173,-19.32981231,-63.76708456
258,259,27.15347472116826,10.00043099783998,-8.50187777630027,3,-3,(3;-3),Nuclear,-746033.3069,-746030.9228,-746030.6054,-2238094.835
259,260,27.86533409452489,11.89960642785721,-8.5375878518326,3,-3,(3;-3),Nuclear,-24.34138089,-24.33169558,-22.92137329,-71.59444976
260,261,28.21361137463491,8.25243418671003,-6.8786029715226,3,-3,(3;-3),Nuclear,-746163.9741,-746161.4681,-746160.8442,-2238486.286
261,262,29.7408893799759,8.79723728001792,-5.66321463606829,3,-3,(3;-3),Nuclear,-24.33363115,-24.32413549,-22.92201932,-71.57978596
262,263,27.22150495301719,10.27821979397585,-15.39370858666951,3,-3,(3;-3),Nuclear,-747237.8406,-747232.4713,-747231.5979,-2241701.91
263,264,28.24573514020902,8.42440156093554,-14.40727316114573,3,-3,(3;-3),Nuclear,-3222370.757,-3222352.12,-3222321.726,-9667044.603
